1.12625	0.0242712	0.0000662	0.02190
1.14775	0.0243195	0.0000763	0.02110
1.16860	0.0244305	0.0000740	0.02060
1.18880	0.0243042	0.0000815	0.01980
1.20835	0.0242998	0.0000817	0.01930
1.22750	0.0242195	0.0000916	0.01900
1.24645	0.0241152	0.0000723	0.01890
1.26550	0.0241983	0.0000655	0.01920
1.28475	0.0241681	0.0000725	0.01930
1.30380	0.0243246	0.0000724	0.01880
1.32260	0.0242828	0.0000680	0.01880
1.34145	0.0243176	0.0000678	0.01890
1.36050	0.0244460	0.0000648	0.01920
1.38005	0.0243880	0.0000657	0.01990
1.40000	0.0243667	0.0000771	0.02000
1.42015	0.0244580	0.0000792	0.02030
1.44060	0.0243855	0.0000664	0.02060
1.46150	0.0243152	0.0000669	0.02120
1.48310	0.0243413	0.0000756	0.02200
1.50530	0.0242709	0.0000747	0.02240
1.52800	0.0243375	0.0000707	0.02300
1.55155	0.0241228	0.0000606	0.02410
1.57625	0.0242088	0.0000690	0.02530
1.60210	0.0242227	0.0000748	0.02640
1.62945	0.0241412	0.0000740	0.02830
