1.12625	0.00022348	0.00001362	0.02190
1.14775	0.00021773	0.00001402	0.02110
1.16860	0.00020928	0.00001390	0.02060
1.18880	0.00022358	0.00001421	0.01980
1.20835	0.00023616	0.00001407	0.01930
1.22750	0.00027998	0.00001418	0.01900
1.24645	0.00027481	0.00001336	0.01890
1.26550	0.00025768	0.00001328	0.01920
1.28475	0.00026123	0.00001407	0.01930
1.30380	0.00024390	0.00001364	0.01880
1.32260	0.00024358	0.00001377	0.01880
1.34145	0.00023319	0.00001458	0.01890
1.36050	0.00023950	0.00001385	0.01920
1.38005	0.00025154	0.00001461	0.01990
1.40000	0.00023120	0.00001454	0.02000
1.42015	0.00022769	0.00001385	0.02030
1.44060	0.00025067	0.00001429	0.02060
1.46150	0.00026136	0.00001339	0.02120
1.48310	0.00026659	0.00001367	0.02200
1.50530	0.00027666	0.00001361	0.02240
1.52800	0.00029110	0.00001415	0.02300
1.55155	0.00028797	0.00001373	0.02410
1.57625	0.00032602	0.00001440	0.02530
1.60210	0.00034886	0.00001401	0.02640
1.62945	0.00033837	0.00001415	0.02830
3.60000	0.00119000	0.00007000	Spz3
4.50000	0.00123000	0.00006000	Spz4
5.80000	0.00134000	0.00035000	Spz5
8.00000	0.00215000	0.00008000	Spz8
11.35000	0.00315000	0.00031500	SpzIRS
24.00000	0.00338000	0.00026000	Spz24
