1.12620	0.00010082	0.00005600	0.03080
1.15625	0.00003807	0.00003807	0.02930
1.18485	0.00012324	0.00004420	0.02790
1.21225	0.00011213	0.00005425	0.02690
1.23895	0.00002327	0.00003620	0.02650
1.26565	0.00015327	0.00004889	0.02690
1.29245	0.00014060	0.00005141	0.02670
1.31895	0.00019840	0.00004884	0.02630
1.34535	0.00012249	0.00005249	0.02650
1.37230	0.00014996	0.00004576	0.02740
1.40000	0.00006031	0.00004444	0.02800
1.42825	0.00018768	0.00004756	0.02850
1.45720	0.00015683	0.00005226	0.02940
1.48730	0.00022695	0.00005339	0.03080
1.51860	0.00027690	0.00005363	0.03180
1.55135	0.00022805	0.00004349	0.03370
1.58620	0.00018429	0.00005592	0.03600
1.62370	0.00014981	0.00005478	0.03900
3.60000	0.00256000	0.00014000	Spz3
4.50000	0.00214000	0.00020000	Spz4
5.80000	0.00310000	0.00034000	Spz5
8.00000	0.00391000	0.00022000	Spz8
16.00000	0.00519000	0.00020000	Spz16
24.00000	0.00598000	0.00038000	Spz24
