1.14200	0.0006620	0.0000710	0.03600
1.17800	0.0005070	0.0000650	0.03500
1.21300	0.0008140	0.0000650	0.03500
1.24800	0.0007280	0.0000660	0.03500
1.28300	0.0007980	0.0000660	0.03500
1.31800	0.0008380	0.0000700	0.03400
1.35200	0.0006840	0.0000670	0.03600
1.38800	0.0006400	0.0000660	0.03400
1.42200	0.0007670	0.0000710	0.03600
1.45800	0.0006840	0.0000780	0.03500
1.49300	0.0007550	0.0000720	0.03500
1.52800	0.0006880	0.0000750	0.03400
1.56200	0.0008500	0.0000710	0.03600
1.59800	0.0009940	0.0000780	0.03400
1.63200	0.0010940	0.0000780	0.03500
3.60000	0.0015600	0.0003100	Spz3
4.50000	0.0022200	0.0002300	Spz4
