1.12620	0.00051477	0.00020868	0.03080
1.15625	0.00026305	0.00018789	0.02930
1.18485	0.00008804	0.00013694	0.02790
1.21225	0.00028826	0.00020590	0.02690
1.23895	0.00020966	0.00018499	0.02650
1.26565	0.00016866	0.00015741	0.02690
1.29245	0.00017352	0.00016194	0.02670
1.31895	0.00035139	0.00018175	0.02630
1.34535	0.00104996	0.00026682	0.02650
1.37230	0.00086321	0.00020545	0.02740
1.40000	0.00118831	0.00022655	0.02800
1.42825	0.00134275	0.00027568	0.02850
1.45720	0.00122772	0.00021747	0.02940
1.48730	0.00049810	0.00018533	0.03080
1.51860	0.00050951	0.00023159	0.03180
1.55135	0.00051146	0.00018711	0.03370
1.58620	0.00027632	0.00020360	0.03600
1.62370	0.00050164	0.00021499	0.03900
3.60000	0.00356000	0.00035000	Spz3
4.50000	0.00372000	0.00054000	Spz4
5.80000	0.00449000	0.00097000	Spz5
8.00000	0.00475000	0.00046000	Spz8
